{'auditorium': 'Auditorium 5', 'description': 'Reserved seating, Closed caption, Accessibility devices available, Recliner Seats', 'seats': ['F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D13', 'D12', 'D11', 'D10', 'D9', 'D8', 'D7', 'D6', 'D5', 'D4', 'D3', 'D2', 'D1', 'C10', 'C9', 'WC8', 'WC7', 'C6', 'C5', 'WC4', 'WC3', 'C2', 'C1', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A14', 'A13', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-06 18:01:27.236061', {'R': [], 'U': []}]
['2018-07-06 18:13:08.009059', {'R': [], 'U': []}]
['2018-07-06 18:25:14.880752', {'R': [], 'U': []}]
['2018-07-06 19:02:01.727439', {'R': [], 'U': []}]
['2018-07-06 19:52:16.431541', {'R': [], 'U': []}]
['2018-07-06 20:05:57.598791', {'R': [], 'U': []}]
['2018-07-06 20:19:07.869812', {'R': [], 'U': []}]
['2018-07-06 20:41:13.682704', {'R': [], 'U': []}]
['2018-07-06 20:55:28.644583', {'R': [], 'U': []}]
['2018-07-06 21:08:04.602709', {'R': [], 'U': []}]
['2018-07-06 21:21:12.270891', {'R': [], 'U': []}]
['2018-07-06 21:33:38.440477', {'R': [], 'U': []}]
['2018-07-06 21:58:24.120828', {'R': [], 'U': []}]
['2018-07-06 22:10:30.722556', {'R': [], 'U': []}]
['2018-07-06 22:22:16.425197', {'R': [], 'U': []}]
['2018-07-06 22:33:56.840612', {'R': [], 'U': []}]
['2018-07-06 22:45:28.448346', {'R': [], 'U': []}]
['2018-07-06 23:05:12.105563', {'R': [], 'U': []}]
['2018-07-06 23:17:17.943724', {'R': [], 'U': []}]
['2018-07-06 23:29:07.139288', {'R': [], 'U': []}]
['2018-07-06 23:41:09.147383', {'R': [], 'U': []}]
['2018-07-07 07:12:53.113504', {'R': [], 'U': []}]
['2018-07-07 07:13:43.338376', {'R': [], 'U': []}]
['2018-07-07 07:34:26.824754', {'R': [], 'U': []}]
['2018-07-07 07:35:12.947441', {'R': [], 'U': []}]
['2018-07-07 07:56:57.813105', {'R': [], 'U': []}]
['2018-07-07 07:57:16.088959', {'R': [], 'U': []}]
['2018-07-07 08:18:25.523621', {'R': [], 'U': []}]
['2018-07-07 08:18:30.122981', {'R': [], 'U': []}]
['2018-07-07 08:38:33.121133', {'R': [], 'U': []}]
['2018-07-07 08:39:57.453072', {'R': [], 'U': []}]
['2018-07-07 08:59:46.248012', {'R': [], 'U': []}]
['2018-07-07 09:01:02.287557', {'R': [], 'U': []}]
['2018-07-07 09:22:37.477386', {'R': [], 'U': []}]
['2018-07-07 09:23:23.956334', {'R': [], 'U': []}]
['2018-07-07 09:44:19.996305', {'R': [], 'U': []}]
['2018-07-07 09:44:38.243801', {'R': [], 'U': []}]
['2018-07-07 10:06:40.678322', {'R': [], 'U': []}]
['2018-07-07 10:07:20.181491', {'R': [], 'U': []}]
['2018-07-07 10:27:59.342292', {'R': [], 'U': []}]
['2018-07-07 10:28:35.269765', {'R': [], 'U': []}]
['2018-07-07 10:50:55.295536', {'R': [], 'U': []}]
['2018-07-07 10:51:38.231777', {'R': [], 'U': []}]
['2018-07-07 11:49:07.845394', {'R': [], 'U': []}]
['2018-07-07 12:22:13.450512', {'R': [], 'U': []}]
['2018-07-07 12:44:51.376421', {'R': [], 'U': []}]
['2018-07-07 13:08:43.313521', {'R': [], 'U': []}]
['2018-07-07 13:30:05.602833', {'R': [], 'U': []}]
['2018-07-07 13:52:51.893535', {'R': [], 'U': []}]
['2018-07-07 14:15:14.105597', {'R': [], 'U': []}]
['2018-07-07 14:45:05.581848', {'R': [], 'U': []}]
['2018-07-07 14:57:22.397545', {'R': [], 'U': []}]
['2018-07-07 15:13:44.130990', {'R': [], 'U': []}]
['2018-07-07 15:32:06.430223', {'R': [], 'U': []}]
['2018-07-07 15:43:02.074914', {'R': [], 'U': []}]
['2018-07-07 15:53:15.418606', {'R': [], 'U': []}]
['2018-07-07 16:04:07.683891', {'R': [], 'U': []}]
['2018-07-07 16:15:02.571659', {'R': [], 'U': []}]
['2018-07-07 16:26:08.063142', {'R': [], 'U': []}]
['2018-07-07 16:36:41.821826', {'R': [], 'U': []}]
['2018-07-07 16:46:58.972167', {'R': [], 'U': []}]
['2018-07-07 17:22:08.615346', {'R': [], 'U': []}]
['2018-07-07 17:32:44.184004', {'R': [], 'U': []}]
['2018-07-07 17:42:18.107450', {'R': [], 'U': []}]
['2018-07-07 17:52:45.567270', {'R': [], 'U': []}]
['2018-07-07 18:02:49.133579', {'R': [], 'U': []}]
['2018-07-07 18:13:32.939443', {'R': [], 'U': []}]
['2018-07-07 18:23:32.825522', {'R': [], 'U': []}]
['2018-07-07 18:34:04.138687', {'R': [], 'U': []}]
['2018-07-07 18:43:02.474404', {'R': [], 'U': []}]
['2018-07-07 19:10:52.757751', {'R': [], 'U': []}]
['2018-07-07 19:18:57.932417', {'R': [], 'U': []}]
['2018-07-07 19:26:57.830201', {'R': [], 'U': []}]
['2018-07-07 19:35:52.232618', {'R': [], 'U': []}]
['2018-07-07 19:44:51.747122', {'R': [], 'U': []}]
['2018-07-07 19:53:09.387644', {'R': [], 'U': []}]
['2018-07-07 20:01:22.986212', {'R': [], 'U': []}]
['2018-07-07 20:09:19.425697', {'R': [], 'U': []}]
['2018-07-07 20:17:10.253970', {'R': [], 'U': []}]
['2018-07-07 20:25:29.432836', {'R': [], 'U': []}]
['2018-07-07 20:41:34.439885', {'R': [], 'U': []}]
['2018-07-07 20:50:44.430945', {'R': [], 'U': []}]
['2018-07-07 20:59:41.305403', {'R': [], 'U': []}]
['2018-07-07 21:08:19.749602', {'R': [], 'U': []}]
['2018-07-07 21:15:43.924217', {'R': [], 'U': []}]
['2018-07-07 21:23:35.832615', {'R': [], 'U': []}]
['2018-07-07 21:31:22.406436', {'R': [], 'U': []}]
['2018-07-07 21:38:38.573614', {'R': [], 'U': []}]
['2018-07-07 21:45:56.493525', {'R': [], 'U': []}]
['2018-07-07 21:53:59.213731', {'R': [], 'U': []}]
['2018-07-07 22:01:43.809967', {'R': [], 'U': []}]
['2018-07-07 22:08:56.691927', {'R': [], 'U': []}]
['2018-07-07 22:20:01.048788', {'R': [], 'U': []}]
['2018-07-07 22:26:32.654188', {'R': [], 'U': []}]
['2018-07-07 22:33:24.799353', {'R': [], 'U': []}]
['2018-07-07 22:39:58.158131', {'R': [], 'U': []}]
['2018-07-07 22:46:35.550153', {'R': [], 'U': []}]
['2018-07-07 22:53:37.003577', {'R': [], 'U': []}]
['2018-07-07 23:00:14.793129', {'R': [], 'U': []}]
['2018-07-07 23:06:45.471438', {'R': [], 'U': []}]
['2018-07-07 23:12:57.570997', {'R': [], 'U': []}]
['2018-07-07 23:19:12.518679', {'R': [], 'U': []}]
['2018-07-07 23:25:43.113897', {'R': [], 'U': []}]
['2018-07-07 23:32:16.449016', {'R': [], 'U': []}]
['2018-07-07 23:38:32.215727', {'R': [], 'U': []}]
['2018-07-07 23:44:46.624454', {'R': [], 'U': []}]
['2018-07-07 23:51:28.774182', {'R': [], 'U': []}]
['2018-07-07 23:57:49.830456', {'R': [], 'U': []}]
['2018-07-08 07:07:43.295643', {'R': [], 'U': []}]
['2018-07-08 07:08:00.683441', {'R': [], 'U': []}]
['2018-07-08 07:22:07.702756', {'R': [], 'U': []}]
['2018-07-08 07:22:35.806768', {'R': [], 'U': []}]
['2018-07-08 07:36:25.220491', {'R': [], 'U': []}]
['2018-07-08 07:37:06.098592', {'R': [], 'U': []}]
['2018-07-08 07:50:55.177470', {'R': [], 'U': []}]
['2018-07-08 07:51:46.268308', {'R': [], 'U': []}]
['2018-07-08 08:06:23.321261', {'R': [], 'U': []}]
['2018-07-08 08:06:48.059528', {'R': [], 'U': []}]
['2018-07-08 08:20:58.463054', {'R': [], 'U': []}]
['2018-07-08 08:21:19.380835', {'R': [], 'U': []}]
['2018-07-08 08:35:43.830119', {'R': [], 'U': []}]
['2018-07-08 08:35:46.147798', {'R': [], 'U': []}]
['2018-07-08 08:49:45.338753', {'R': [], 'U': []}]
['2018-07-08 08:49:54.523579', {'R': [], 'U': []}]
['2018-07-08 09:04:53.846233', {'R': [], 'U': []}]
['2018-07-08 09:18:58.597490', {'R': [], 'U': []}]
['2018-07-08 09:31:14.615824', {'R': [], 'U': []}]
['2018-07-08 09:43:04.301524', {'R': [], 'U': []}]
['2018-07-08 09:55:07.659400', {'R': [20, 21], 'U': []}]
['2018-07-08 10:07:07.186568', {'R': [20, 21], 'U': []}]
['2018-07-08 10:18:02.491066', {'R': [], 'U': []}]
['2018-07-08 10:29:42.701281', {'R': [], 'U': []}]
['2018-07-08 10:41:25.055791', {'R': [], 'U': []}]
['2018-07-08 10:54:18.948094', {'R': [], 'U': []}]
['2018-07-08 11:06:01.263735', {'R': [], 'U': []}]
['2018-07-08 11:18:57.310999', {'R': [], 'U': []}]
['2018-07-08 11:32:11.213349', {'R': [], 'U': []}]
['2018-07-08 11:45:34.968141', {'R': [], 'U': []}]
['2018-07-08 11:58:35.991271', {'R': [], 'U': []}]
['2018-07-08 12:10:03.825813', {'R': [], 'U': []}]
['2018-07-08 12:20:55.794247', {'R': [], 'U': []}]
['2018-07-08 12:31:57.303991', {'R': [], 'U': []}]
['2018-07-08 12:42:16.259148', {'R': [], 'U': []}]
['2018-07-08 12:53:35.994445', {'R': [], 'U': []}]
['2018-07-08 13:04:21.409743', {'R': [], 'U': []}]
['2018-07-08 13:15:07.993280', {'R': [], 'U': []}]
['2018-07-08 13:25:06.619950', {'R': [], 'U': []}]
['2018-07-08 13:35:39.200688', {'R': [], 'U': []}]
['2018-07-08 13:46:09.460171', {'R': [], 'U': []}]
['2018-07-08 13:57:09.049764', {'R': [], 'U': []}]
['2018-07-08 14:07:20.003941', {'R': [], 'U': []}]
['2018-07-08 14:17:58.576725', {'R': [], 'U': []}]
['2018-07-08 14:29:16.812059', {'R': [], 'U': []}]
['2018-07-08 14:39:27.927781', {'R': [], 'U': []}]
['2018-07-08 14:50:14.289640', {'R': [], 'U': []}]
['2018-07-08 14:59:35.801741', {'R': [], 'U': []}]
['2018-07-08 15:10:22.124471', {'R': [], 'U': []}]
['2018-07-08 15:21:45.970885', {'R': [], 'U': []}]
['2018-07-08 15:33:10.247736', {'R': [], 'U': []}]
['2018-07-08 15:43:57.205955', {'R': [], 'U': []}]
['2018-07-08 15:55:23.112812', {'R': [], 'U': []}]
['2018-07-08 16:06:30.712059', {'R': [], 'U': []}]
['2018-07-08 16:17:22.597431', {'R': [], 'U': []}]
['2018-07-08 16:27:56.027495', {'R': [], 'U': []}]
['2018-07-08 16:37:12.052608', {'R': [], 'U': []}]
['2018-07-08 16:46:11.130101', {'R': [], 'U': []}]
['2018-07-08 16:56:30.790148', {'R': [], 'U': []}]
['2018-07-08 17:06:02.170101', {'R': [], 'U': []}]
['2018-07-08 17:14:59.107122', {'R': [], 'U': []}]
['2018-07-08 17:24:27.539924', {'R': [], 'U': []}]
['2018-07-08 17:33:54.873526', {'R': [36, 37], 'U': []}]
['2018-07-08 17:47:08.406488', {'R': [36, 37], 'U': []}]
['2018-07-08 17:56:29.471852', {'R': [36, 37], 'U': []}]
['2018-07-08 18:05:15.379268', {'R': [6, 7, 36, 37], 'U': []}]
['2018-07-08 18:13:57.050236', {'R': [6, 7, 36, 37], 'U': []}]
['2018-07-08 18:23:15.362519', {'R': [6, 7, 36, 37], 'U': []}]
['2018-07-08 18:32:12.286359', {'R': [6, 7, 36, 37], 'U': []}]
['2018-07-08 18:44:02.631785', {'R': [6, 7, 36, 37], 'U': []}]
['2018-07-08 18:52:33.521400', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:01:32.121550', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:10:18.307972', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:18:40.525433', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:24:22.705943', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:32:32.103006', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:40:16.200395', {'R': [6, 7, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:48:26.369455', {'R': [6, 7, 8, 9, 22, 23, 36, 37], 'U': []}]
['2018-07-08 19:56:56.455300', {'R': [6, 7, 8, 9, 22, 23, 36, 37], 'U': []}]
['2018-07-08 20:04:39.267709', {'R': [6, 7, 8, 9, 22, 23, 36, 37], 'U': []}]
['2018-07-08 20:12:21.037806', {'R': [6, 7, 8, 9, 22, 23, 36, 37], 'U': []}]
['2018-07-08 20:19:52.485163', {'R': [6, 7, 8, 9, 22, 23, 36, 37], 'U': []}]
['2018-07-08 20:27:48.945750', {'R': [6, 7, 8, 9, 22, 23, 34, 35, 36, 37], 'U': []}]
['2018-07-08 20:35:00.661008', {'R': [6, 7, 8, 9, 22, 23, 34, 35, 36, 37], 'U': []}]
['2018-07-08 20:42:49.195644', {'R': [6, 7, 8, 9, 22, 23, 24, 34, 35, 36, 37], 'U': []}]
['2018-07-08 20:50:51.762263', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 34, 35, 36, 37], 'U': []}]
['2018-07-08 20:58:51.121172', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 34, 35, 36, 37], 'U': []}]
['2018-07-08 21:06:39.148648', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 30, 31, 34, 35, 36, 37], 'U': []}]
['2018-07-08 21:14:18.342597', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 30, 31, 34, 35, 36, 37], 'U': []}]
['2018-07-08 21:24:19.266075', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 30, 31, 34, 35, 36, 37, 39], 'U': []}]
['2018-07-08 21:32:06.001845', {'R': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 30, 31, 34, 35, 36, 37, 39], 'U': []}]
['2018-07-08 21:48:41.571195', {'R': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 57, 58, 59, 60, 61], 'U': []}]
['2018-07-08 21:56:12.794936', {'R': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 52, 57, 58, 59, 60, 61, 75, 76, 77], 'U': []}]
